    # epsilon [GeV^4]               P [GeV^4]               T [GeV]
   17.059258545997540        5.7384919367380638        1.0000000000000000     
   16.994586745405091        5.7159544286979598       0.99901001001001000     
   16.930083756167861        5.6934809248520795       0.99802002002001999     
   16.865749383995880        5.6710713213325477       0.99703003003002988     
   16.801583434280211        5.6487255142848607       0.99604004004003988     
   16.737585712091338        5.6264433997927359       0.99505005005004987     
   16.673756022207318        5.6042248739604652       0.99406006006005987     
   16.610094168975237        5.5820698328684699       0.99307007007006987     
   16.546599956588565        5.5599781725851010       0.99208008008007986     
   16.483273188810262        5.5379497891657561       0.99109009009008975     
   16.420113669139582        5.5159845786395190       0.99010010010009974     
   16.357121200644329        5.4940824370746624       0.98911011011010974     
   16.294295586241581        5.4722432604750937       0.98812012012011974     
   16.231636628417355        5.4504669448624092       0.98713013013012973     
   16.169144129367368        5.4287533862484949       0.98614014014013973     
   16.106817890997185        5.4071024805869881       0.98515015015014962     
   16.044657714780687        5.3855141239082585       0.98416016016015961     
   15.982663402044567        5.3639882121426732       0.98317017017016961     
   15.920834753684293        5.3425246412934113       0.98218018018017961     
   15.859171570334606        5.3211233072939876       0.98119019019018960     
   15.797673652200400        5.2997841060935063       0.98020020020019960     
   15.736340799339116        5.2785069336331896       0.97921021021020949     
   15.675172811379067        5.2572916858381360       0.97822022022021948     
   15.614169487660442        5.2361382586474461       0.97723023023022948     
   15.553330627236852        5.2150465479690746       0.97624024024023948     
   15.492656028729925        5.1940164496831551       0.97525025025024947     
   15.432145490620750        5.1730478597313008       0.97426026026025947     
   15.371798810959042        5.1521406740021254       0.97327027027026936     
   15.311615787538770        5.1312947883548956       0.97228028028027935     
   15.251596217721504        5.1105100986990468       0.97129029029028935     
   15.191739898732093        5.0897865009008045       0.97030030030029935     
   15.132046627363758        5.0691238908313254       0.96931031031030934     
   15.072516200126186        5.0485221643691816       0.96832032032031934     
   15.013148413216248        5.0279812173585370       0.96733033033032922     
   14.953943062510941        5.0075009456860222       0.96634034034033922     
   14.894899943605097        4.9870812451721944       0.96535035035034922     
   14.836018851737226        4.9667220116741166       0.96436036036035921     
   14.777299581864218        4.9464231410543817       0.96337037037036921     
   14.718741928624938        4.9261845291383137       0.96238038038037921     
   14.660345686347675        4.9060060717638674       0.96139039039038909     
   14.602110649050655        4.8858876647889824       0.96040040040039909     
   14.544036610442609        4.8658292040335507       0.95941041041040909     
   14.486123363923086        4.8458305853440313       0.95842042042041908     
   14.428370702582910        4.8258917045270655       0.95743043043042908     
   14.370778419204591        4.8060124574310166       0.95644044044043908     
   14.313346306262870        4.7861927398890618       0.95545045045044896     
   14.256074155925079        4.7664324477052471       0.95446046046045896     
   14.198961760051665        4.7467314767418554       0.95347047047046896     
   14.142008910196619        4.7270897228027637       0.95248048048047895     
   14.085215397608028        4.7075070817333797       0.95149049049048895     
   14.028581013228484        4.6879834493409112       0.95050050050049895     
   13.972105547699828        4.6685187214761141       0.94951051051050883     
   13.915788791342630        4.6491127939643295       0.94852052052051883     
   13.859630534198356        4.6297655626279255       0.94753053053052883     
   13.803630565989664        4.6104769233081120       0.94654054054053882     
   13.747788676134766        4.5912467718511376       0.94555055055054882     
   13.692104653765300        4.5720750040768685       0.94456056056055882     
   13.636578287689129        4.5529615158527355       0.94357057057056870     
   13.581209366427212        4.5339062030007877       0.94258058058057870     
   13.525997678196166        4.5149089613855056       0.94159059059058869     
   13.470943010912450        4.4959696868426491       0.94060060060059869     
   13.416045152192863        4.4770882752439363       0.93961061061060869     
   13.361303889352840        4.4582646224480946       0.93862062062061868     
   13.306719009415499        4.4394986243106578       0.93763063063062857     
   13.252290299092286        4.4207901767202005       0.93664064064063857     
   13.198017544838734        4.4021391755380286       0.93565065065064856     
   13.143900532746740        4.3835455166548805       0.93466066066065856     
   13.089939048660868        4.3650090959634271       0.93367067067066856     
   13.036132878117211        4.3465298093395885       0.93268068068067855     
   12.982481806357093        4.3281075526992376       0.93169069069068844     
   12.928985618327690        4.3097422219533543       0.93070070070069844     
   12.875644098682629        4.2914337130139835       0.92971071071070843     
   12.822457031773792        4.2731819218103393       0.92872072072071843     
   12.769424201696570        4.2549867442619407       0.92773073073072843     
   12.716545392200118        4.2368480763267788       0.92674074074073842     
   12.663820386783087        4.2187658139318280       0.92575075075074831     
   12.611248968637483        4.2007398530652234       0.92476076076075830     
   12.558830920671635        4.1827700896730002       0.92377077077076830     
   12.506566025503036        4.1648564197310565       0.92278078078077830     
   12.454454065461332        4.1469987392496890       0.92179079079078829     
   12.402494822589299        4.1291969442082532       0.92080080080079829     
   12.350688078646504        4.1114509306187310       0.91981081081080818     
   12.299033615087531        4.0937605945152402       0.91882082082081817     
   12.247531213112998        4.0761258319084437       0.91783083083082817     
   12.196180653615885        4.0585465388634114       0.91684084084083817     
   12.144981717216927        4.0410226114272980       0.91585085085084816     
   12.093934184235911        4.0235539456632550       0.91486086086085816     
   12.043037834752935        4.0061404376638166       0.91387087087086805     
   11.992292448510351        3.9887819835259712       0.91288088088087804     
   11.941697805006429        3.9714784793474185       0.91189089089088804     
   11.891253683448019        3.9542298212601392       0.91090090090089804     
   11.840959862772813        3.9370359053876025       0.90991091091090803     
   11.790816121627529        3.9198966279001106       0.90892092092091803     
   11.740822238382865        3.9028118849560434       0.90793093093092792     
   11.690977991138107        3.8857815727354370       0.90694094094093791     
   11.641283157721862        3.8688055874407681       0.90595095095094791     
   11.591737515684853        3.8518838252789243       0.90496096096095791     
   11.542340842293122        3.8350161824863331       0.90397097097096790     
